(763, 1083)
(708, 1083)
(677, 1083)
(645, 1083)
(614, 1083)
(531, 1083)
(499, 1083)
(467, 1083)
(436, 1083)
(352, 1083)
(321, 1083)
(290, 1083)
(258, 1083)
(175, 1083)
(143, 1083)
(112, 1083)
(80, 1083)
(20, 1083)
(763, 1040)
(763, 1020)
(763, 1001)
(763, 982)
(763, 962)
(763, 924)
(763, 905)
(763, 886)
(763, 866)
(763, 847)
(763, 809)
(763, 790)
(763, 771)
(763, 751)
(763, 732)
(763, 694)
(763, 675)
(763, 655)
(763, 636)
(763, 617)
(763, 579)
(763, 560)
(763, 540)
(763, 521)
(763, 501)
(763, 464)
(763, 444)
(763, 425)
(763, 406)
(763, 386)
(763, 321)
(763, 298)
(763, 276)
(763, 254)
(763, 232)
(763, 210)
(637, 209)
(763, 188)
(652, 189)
(623, 189)
(763, 166)
(608, 166)
(763, 144)
(593, 144)
(713, 144)
(763, 122)
(696, 122)
(576, 122)
(727, 123)
(654, 122)
(763, 32)
(20, 32)
(413, 29)
(404, 29)
(484, 29)
(449, 28)
(348, 28)
(338, 28)
(325, 29)
(309, 29)
(518, 28)
(509, 27)
(492, 29)
(475, 28)
(467, 28)
(439, 27)
(387, 28)
(372, 28)
(355, 28)
(292, 28)
(277, 28)
(254, 28)
(240, 28)
(231, 28)
(222, 28)
(215, 28)
(201, 28)
